price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
32000000,"Shital height, Imadol",0-3-0-2,East,5,4,2,3,4,13,Semi Furnished,3
28000000,Shital Height,0-3-0-0,West,5,4,2,3.5,2,13,Semi Furnished,3.5
32500000,House for sale bhangal,,South,,,,,,,Select Furnishing,
20000000,Pulchowk birtamode ,,East,3,1,1,1,3,,Select Furnishing,1
32500000,"Koteshwor, Kathmandu",,West,5,3,2,2.5,1,,,2.5
40000000,"Shital height, Imadol",0-4-0-0,North,6,4,2,2.5,4,13,Full Furnished,2.5
28000000,Bhaisepati,0-4-0-0,South,6,3,2,2.5,4,16,Full Furnished,2.5
40000000,Harisiddhi,0-7-0-0,East,6,4,2,2.5,4,13,Full Furnished,2.5
47000000,"Shital height, Imadol",0-4-2-0,East,6,4,2,3,4,13,Full Furnished,3
47000000,Cheu dada,5 aana,East,6,5,,2.5,2,,Full Furnished,2.5
52500000,Bhaisepati,0-5-2-0,East,6,5,2,2.5,4,16,Full Furnished,2.5
42500000,Shital Height,0-4-0-0,North,6,4,2,3,4,13,Full Furnished,3
60000000,Sifal chowk,0-4-2-1,East,8,5,3,3.5,2,,Full Furnished,3.5
35000000,baneshwor,3 aana,North,,3,3,3.5,1,10,Unfurnished,3.5
63000000,Shital Height,0-6-0-0,South,6,5,2,2.5,4,13,Full Furnished,2.5
28000000,"Gadatantra chowk , Saraswotinagar ",0-3-0-0,East,6,4,2,3,3,14,Semi Furnished,3
53500000,"Shital height, Imadol",0-4-2-0,South,6,4,1,2.5,4,13,Full Furnished,2.5
39000000,Bhaisepati,0-4-3-0,South-East,6,5,2,3.5,4,20,Semi Furnished,3.5
45000000,"Shital height, Imadol",0-4-0-0,South,4,4,1,3,4,13,Full Furnished,3
47000000,"Shital height, Imadol",0-4-2-2,East,6,7,3,3,1,,Full Furnished,3
25200000,"Tikathali, Lalitpur",0-3-0-0,South,4,4,1,2.5,4,13,Semi Furnished,2.5
6000000,"mahottrai,Bardibas",8dhur,South,2,1,0,1,1,100,Full Furnished,1
39000000,Imadol,0-3-3-0,North,7,5,1,3.5,4,16,Semi Furnished,3.5
39000000,Shital height,5 ropani,South-East,5,5,2,3,5,,Full Furnished,3
39500000,Shital Height,0-4-0-0,South,5,3,2,3.5,3,13,Semi Furnished,3.5
86000000,"Dallu, Kathmandu",0-8-0-0,South-East,10,7,4,4,4,13,Semi Furnished,4
38500000,"Bojepokhari, Imadol",0-4-0-2,North,8,6,3,3,4,20,Semi Furnished,3
42000000,"Shital height, Imadol",0-4-1-0,South,7,5,2,3.5,4,13,Semi Furnished,3.5
42500000,"Shital height, Imadol",0-4-0-0,South,7,5,2,3.5,3,13,Semi Furnished,3.5
22000000,Tempo park,0-2-3-0,South,4,4,2,2.5,2,13,Semi Furnished,2.5
30000000,"Shital height, Imadol",0-4-1-2,East,5,4,2,2.5,3,13,Semi Furnished,2.5
63500000,PASIKOT ,0-8-2-0,North-East,6,5,3,2.5,5,13,Semi Furnished,2.5
50000000,Sano bharyang,0-5-0-0,North-East,6,4,2,3,4,13,Full Furnished,3
17500000,Tej Binayak,0-3-0-1,South,4,3,1,1.5,2,12,Semi Furnished,1.5
63000000,Veenas residency,0-8-0-0,North,5,3,1,2.5,4,20,Semi Furnished,2.5
32500000,Thapagaun,0-3-0-0,North,16,4,2,4,3,20,Semi Furnished,4
33500000,Near karuna hospital ,0-4-0-0,West,6,4,2,2.5,4,13,Semi Furnished,2.5
