price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
32000000,"Shital height, Imadol",169.539,East,5.0,4.0,2.0,3.0,4.0,13.0,Semi Furnished,3.0
28000000,Shital Height,126.759,West,5.0,4.0,2.0,3.5,2.0,13.0,Semi Furnished,3.5
40000000,"Shital height, Imadol",169.012,North,6.0,4.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
28000000,Bhaisepati,169.012,South,6.0,3.0,2.0,2.5,4.0,16.0,Full Furnished,2.5
40000000,Harisiddhi,295.771,East,6.0,4.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
47000000,"Shital height, Imadol",340.132,East,6.0,4.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
52500000,Bhaisepati,382.385,East,6.0,5.0,2.0,2.5,4.0,16.0,Full Furnished,2.5
42500000,Shital Height,169.012,North,6.0,4.0,2.0,3.0,4.0,13.0,Full Furnished,3.0
63000000,Shital Height,253.518,South,6.0,5.0,2.0,2.5,4.0,13.0,Full Furnished,2.5
28000000,"Gadatantra chowk , Saraswotinagar ",126.759,East,6.0,4.0,2.0,3.0,3.0,14.0,Semi Furnished,3.0
53500000,"Shital height, Imadol",340.132,South,6.0,4.0,1.0,2.5,4.0,13.0,Full Furnished,2.5
39000000,Bhaisepati,425.692,South-East,6.0,5.0,2.0,3.5,4.0,20.0,Semi Furnished,3.5
45000000,"Shital height, Imadol",169.012,South,4.0,4.0,1.0,3.0,4.0,13.0,Full Furnished,3.0
25200000,"Tikathali, Lalitpur",126.759,South,4.0,4.0,1.0,2.5,4.0,13.0,Semi Furnished,2.5
6000000,"mahottrai,Bardibas",,South,2.0,1.0,0.0,1.0,1.0,100.0,Full Furnished,1.0
39000000,Imadol,383.439,North,7.0,5.0,1.0,3.5,4.0,16.0,Semi Furnished,3.5
39500000,Shital Height,169.012,South,5.0,3.0,2.0,3.5,3.0,13.0,Semi Furnished,3.5
86000000,"Dallu, Kathmandu",338.024,South-East,10.0,7.0,4.0,4.0,4.0,13.0,Semi Furnished,4.0
38500000,"Bojepokhari, Imadol",211.792,North,8.0,6.0,3.0,3.0,4.0,20.0,Semi Furnished,3.0
42000000,"Shital height, Imadol",254.572,South,7.0,5.0,2.0,3.5,4.0,13.0,Semi Furnished,3.5
42500000,"Shital height, Imadol",169.012,South,7.0,5.0,2.0,3.5,3.0,13.0,Semi Furnished,3.5
22000000,Tempo park,341.18600000000004,South,4.0,4.0,2.0,2.5,2.0,13.0,Semi Furnished,2.5
30000000,"Shital height, Imadol",297.352,East,5.0,4.0,2.0,2.5,3.0,13.0,Semi Furnished,2.5
