price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
Rs. 7 Crore 25 Lakh (Negotiable),Location: Dhapasi Height ,Land Area: 0-7-2-0 ,Floors: 3.5 ,Bedrooms: 9 ,Bathrooms: 7 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnished ,Face Towards: East/South & North faced ,32 Feet 
Rs. 7 Crore 25 Lakh (Negotiable),Location: Dhapasi Height ,Land Area: 0-7-2-0 ,Floors: 3.5 ,Bedrooms: 9 ,Bathrooms: 7 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnished ,Face Towards: East/South & North faced ,32 Feet 
Rs. 0 (Negotiable),Location: Bhangal Height ,Land Area: 0-4-0-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 5 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: North Faced ,13 Feet 
Rs. 0 (Negotiable),Location: Bhangal Height ,Land Area: 0-4-0-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 5 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: North Faced ,13 Feet 
Rs. 3 Crore 60 Lakh (Negotiable),Location: Pepsicola ,Land Area: 0-3-1-0 ,Floors: 4.5 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 3 ,Furnishing Type: Not Furnishing ,Face Towards: East faced ,13 Feet 
Rs. 3 Crore 60 Lakh (Negotiable),Location: Pepsicola ,Land Area: 0-3-1-0 ,Floors: 4.5 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 3 ,Furnishing Type: Not Furnishing ,Face Towards: East faced ,13 Feet 
Rs. 3 Crore 25 Lakh (Negotiable),Location: Tokha Dhaneshwor ,Land Area: 0-3-2-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 3 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,Face Towards: West Faced ,10 Feet 
Rs. 3 Crore 25 Lakh (Negotiable),Location: Tokha Dhaneshwor ,Land Area: 0-3-2-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 3 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,Face Towards: West Faced ,10 Feet 
Rs. 2 Crore 85 Lakh (Negotiable),Location: Mahalaxmi Siddartha Tole ,Land Area: 0-3-1-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: East faced ,20 Feet 
Rs. 2 Crore 85 Lakh (Negotiable),Location: Mahalaxmi Siddartha Tole ,Land Area: 0-3-1-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: East faced ,20 Feet 
Rs. 3 Crore 50 Lakh (Negotiable),Location: Sitapakha ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,"Face Towards: East,South faced ",23/13 Feet 
Rs. 3 Crore 50 Lakh (Negotiable),Location: Sitapakha ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,"Face Towards: East,South faced ",23/13 Feet 
Rs. 3 Crore 95 Lakh (Negotiable),Location: Kalanki ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 7 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Fully Furnished ,Face Towards: West Faced ,10 Feet 
Rs. 3 Crore 95 Lakh (Negotiable),Location: Kalanki ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 7 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Fully Furnished ,Face Towards: West Faced ,10 Feet 
Rs. 7 Crore 25 Lakh (Negotiable),Location: Bansthali ,Land Area: 0-7-1-1 ,Floors: 3.5 ,Bedrooms: 0 ,Bathrooms: 0 ,Living rooms: 0 ,Kitchens: 0 ,Furnishing Type: Not Furnishing ,Face Towards: East faced ,30 Feet 
Rs. 7 Crore 25 Lakh (Negotiable),Location: Bansthali ,Land Area: 0-7-1-1 ,Floors: 3.5 ,Bedrooms: 0 ,Bathrooms: 0 ,Living rooms: 0 ,Kitchens: 0 ,Furnishing Type: Not Furnishing ,Face Towards: East faced ,30 Feet 
Rs. 2 Crore 65 Lakh (Negotiable),Location: Gothatar ,Land Area: 0-3-2-2 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,16 Feet 
Rs. 2 Crore 65 Lakh (Negotiable),Location: Gothatar ,Land Area: 0-3-2-2 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,16 Feet 
Rs. 1 Crore 25 Lakh (Negotiable),Location: Chagunarayan Duwakot ,Land Area: 0-3-0-0 ,Floors: 1 ,Bedrooms: 2 ,Bathrooms: 1 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,20 Feet 
Rs. 1 Crore 25 Lakh (Negotiable),Location: Chagunarayan Duwakot ,Land Area: 0-3-0-0 ,Floors: 1 ,Bedrooms: 2 ,Bathrooms: 1 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,20 Feet 
Rs. 3 Crore 95 Lakh (Negotiable),Location:  ,Land Area: 0-4-1-1 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 3 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,30 Feet 
Rs. 3 Crore 95 Lakh (Negotiable),Location:  ,Land Area: 0-4-1-1 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 3 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,30 Feet 
Rs. 2 Crore (Negotiable),Location: Kadaghari Sankat Mochan Marga ,Land Area: 0-2-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South & East Faced ,10 Feet 
Rs. 2 Crore (Negotiable),Location: Kadaghari Sankat Mochan Marga ,Land Area: 0-2-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South & East Faced ,10 Feet 
Rs. 3 Crore (Negotiable),Location: Har har mahadev ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: East/South faced ,13 Feet 
Rs. 3 Crore (Negotiable),Location: Har har mahadev ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: East/South faced ,13 Feet 
Rs. 2 Crore 20 Lakh (Negotiable),Location: Dharmasthali ,Land Area: 0-4-0-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,13 Feet 
Rs. 2 Crore 20 Lakh (Negotiable),Location: Dharmasthali ,Land Area: 0-4-0-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnished ,Face Towards: South Faced ,13 Feet 
Rs. 2 Crore 25 Lakh (Negotiable),Location: Satungal Namuna Basti ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,Face Towards: East Faced ,13 Feet 
Rs. 2 Crore 25 Lakh (Negotiable),Location: Satungal Namuna Basti ,Land Area: 0-3-2-0 ,Floors: 2.5 ,Bedrooms: 5 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Fully Furnished ,Face Towards: East Faced ,13 Feet 
Rs. 2 Crore 50 Lakh (Negotiable),Location: Dhapakhel Nagdaha ,Land Area: 0-4-4-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Fully Furnished ,Face Towards: South Faced ,18 Feet 
Rs. 2 Crore 50 Lakh (Negotiable),Location: Dhapakhel Nagdaha ,Land Area: 0-4-4-0 ,Floors: 2.5 ,Bedrooms: 4 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Fully Furnished ,Face Towards: South Faced ,18 Feet 
Rs. 3 Crore 50 Lakh (Negotiable),Location: Mahankal Panitanki ,Land Area: 0-4-0-2 ,Floors: 4 ,Bedrooms: 4 ,Bathrooms: 5 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Not Furnishing ,Face Towards: East faced ,13 Feet 
