price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
72500000.0, Dhapasi Height ,2566.87, 3.5 , 9 , 7 , 3 , 3 , Semi Furnished ,"['east/south', '&', 'north']",['32']
72500000.0, Dhapasi Height ,2566.87, 3.5 , 9 , 7 , 3 , 3 , Semi Furnished ,"['east/south', '&', 'north']",['32']
0.0, Bhangal Height ,1369.0, 2.5 , 4 , 5 , 3 , 2 , Semi Furnished ,['north'],['13']
0.0, Bhangal Height ,1369.0, 2.5 , 4 , 5 , 3 , 2 , Semi Furnished ,['north'],['13']
36000000.0, Pepsicola ,1112.31, 4.5 , 7 , 4 , 4 , 3 , Not Furnishing ,['east'],['13']
36000000.0, Pepsicola ,1112.31, 4.5 , 7 , 4 , 4 , 3 , Not Furnishing ,['east'],['13']
32500000.0, Tokha Dhaneshwor ,1197.87, 3 , 7 , 3 , 3 , 2 , Fully Furnished ,['west'],['10']
32500000.0, Tokha Dhaneshwor ,1197.87, 3 , 7 , 3 , 3 , 2 , Fully Furnished ,['west'],['10']
28500000.0, Mahalaxmi Siddartha Tole ,1112.31, 2.5 , 5 , 4 , 2 , 2 , Semi Furnished ,['east'],['20']
28500000.0, Mahalaxmi Siddartha Tole ,1112.31, 2.5 , 5 , 4 , 2 , 2 , Semi Furnished ,['east'],['20']
35000000.0, Sitapakha ,1197.87, 2.5 , 6 , 4 , 2 , 2 , Fully Furnished ,"['east,south']",['23/13']
35000000.0, Sitapakha ,1197.87, 2.5 , 6 , 4 , 2 , 2 , Fully Furnished ,"['east,south']",['23/13']
39500000.0, Kalanki ,1197.87, 2.5 , 7 , 3 , 1 , 1 , Fully Furnished ,['west'],['10']
39500000.0, Kalanki ,1197.87, 2.5 , 7 , 3 , 1 , 1 , Fully Furnished ,['west'],['10']
72500000.0, Bansthali ,2502.7, 3.5 , 0 , 0 , 0 , 0 , Not Furnishing ,['east'],['30']
72500000.0, Bansthali ,2502.7, 3.5 , 0 , 0 , 0 , 0 , Not Furnishing ,['east'],['30']
