price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 5.5Cr ,"Dhapakhel, Lalitpur",5.3 aana,3,5,3,Full-Furnished,East,20 Feet 
Rs. 3Cr ,"Bhaisepati, Lalitpur",3.2 aana,2,4,3,Semi-Furnished,East,16 Feet 
Rs. 4Cr ,"Bhangal , Kathmandu",5.1 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 6.5Cr ,"Ganesh Chowk, Kathmandu",5.1 aana,2.5,6,3,Un-Furnished,South,13 Feet 
Rs. 5.75Cr ,"Samakhusi, Kathmandu",7.2 aana,2.5,6,4,Un-Furnished,South,16 Feet 
Rs. 1.6Cr ,"Syuchatar, Kathmandu",7.2 aana,2.5,7,3,Semi-Furnished,South-West,13 Feet 
Rs. 5.5Cr ,"Samakhusi, Kathmandu",6.5 aana,3.5,12,4,Un-Furnished,North-East,20 Feet 
Rs. 1.89Cr ,"Bhaisepati, Lalitpur",2.2 aana,2,4,3,Full-Furnished,North-East,13 Feet 
Rs. 1.55Cr ,"Tikathali, Lalitpur",2.2 aana,1.5,2,1,Full-Furnished,West,13 Feet 
Rs. 2.7Cr ,"Golfutar, Kathmandu",3.2 aana,2.5,4,3,Semi-Furnished,South,10 Feet 
Rs. 1.55Cr ,"Tikathali, Lalitpur",3.2 aana,1.5,2,1,Full-Furnished,West,13 Feet 
Rs. 25Lac ,"Syuchatar, Kathmandu",3.2 aana,2.5,3,3,Semi-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Shital Height, Lalitpur",3.2 aana,3.5,5,4,Semi-Furnished,North,13 Feet 
Rs. 5Cr ,"Syuchatar, Kathmandu",3.2 aana,2.5,4,3,Semi-Furnished,South-West,22 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.1 aana,4,5,4,Full-Furnished,North-East,13 Feet 
Rs. 1.75Cr ,"Badikhel, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,South,20 Feet 
Rs. 8.7Cr ,"Basundhara, Kathmandu",4.2 aana,2.5,5,5,Semi-Furnished,South,20 Feet 
Rs. 3.45Cr ,"Maitrinagar, Kathmandu",4.2 aana,4,10,6,Semi-Furnished,South-West,18 Feet 
Rs. 1.75Cr ,"Badikhel, Lalitpur",4.2 aana,2.5,5,4,Semi-Furnished,South-West,17 Feet 
Rs. 9Cr ,"Sinamangal, Kathmandu",4.2 aana,2.5,6,4,Semi-Furnished,South-West,17 Feet 
Rs. 2.45Cr ,"Imadol, Lalitpur",48.1 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.15Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Semi-Furnished,South-East,13 Feet 
Price on call,"Thecho, Lalitpur",6.2 aana,2.5,4,4,Full-Furnished,West,18 Feet 
Rs. 2.9Cr ,"Tikathali, Lalitpur",3.1 aana,3.5,5,4,Full-Furnished,North-East,13 Feet 
Rs. 3.15Cr ,"Tikathali, Lalitpur",3.1 aana,2.5,6,4,Full-Furnished,South,20 Feet 
Price on call,"Bhaisepati, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,South,16 Feet 
Rs. 5.25Cr ,"Bhaisepati, Lalitpur",5.2 aana,3.5,6,6,Full-Furnished,South-East,18 Feet 
Rs. 3.98Cr ,"Bhaisepati, Lalitpur",5.2 aana,3,4,6,Full-Furnished,North-West,20 Feet 
Rs. 8.7Cr ,"Basundhara, Kathmandu",5.2 aana,2.5,5,5,Full-Furnished,North-East,20 Feet 
Rs. 4Cr ,"New Baneshwor, Kathmandu",5.2 aana,3,6,4,Full-Furnished,East,13 Feet 
Rs. 4.15Cr ,"Hepali Height, Kathmandu",4.1 aana,2.5,6,4,Semi-Furnished,South,20 Feet 
Rs. 2.6Cr ,"Harisiddhi, Lalitpur",2.2 aana,2.5,4,4,Semi-Furnished,North,13 Feet 
Rs. 6Cr ,"Buddhanagar, Kathmandu",5.3 aana,2.5,5,4,Full-Furnished,East,13 Feet 
Rs. 5Cr ,"Tokha, Kathmandu",5.3 aana,2.5,5,4,Full-Furnished,East,13 Feet 
Rs. 5Cr ,"Hattigaunda, Kathmandu",5.3 aana,3.5,7,5,Full-Furnished,East,13 Feet 
Rs. 4Cr ,"Hattigaunda, Kathmandu",4.2 aana,2.5,6,4,Full-Furnished,South,16 Feet 
Rs. 4.5Cr ,"Hattigaunda, Kathmandu",4.2 aana,2.5,4,5,Full-Furnished,South,13 Feet 
Rs. 4Cr ,"Hattigaunda, Kathmandu",4.2 aana,2.5,5,4,Full-Furnished,South,16 Feet 
Rs. 4.8Cr ,"Hattigaunda, Kathmandu",7.2 aana,3.5,6,5,Full-Furnished,South,13 Feet 
Rs. 4.25Cr ,"Hattigaunda, Kathmandu",7.2 aana,2.5,5,3,Full-Furnished,South,13 Feet 
Rs. 8.25Cr ,"Hattigaunda, Kathmandu",7.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
